,Course,Daytime/evening attendance,Mother's occupation,Tuition fees up to date,Scholarship holder,Age at enrollment,credits_enrolled_anual,evaluations_anual,credits_approved_anual,mean_grade_anual,Clasificador(Target)
0,2,1,6,1,0,20,0,0,0,0.0,1
1,11,1,4,0,0,19,12,12,12,13.833333333333332,0
2,5,1,10,0,0,19,12,0,0,0.0,1
3,15,1,6,1,0,20,12,18,11,12.914285714285716,0
4,3,0,10,1,0,45,12,15,11,12.666666666666668,0
5,17,0,10,1,0,50,10,27,10,11.678571428571429,0
6,12,1,8,1,1,18,15,17,15,13.822500000000002,0
7,11,1,10,0,0,22,10,10,0,0.0,1
8,10,1,10,1,1,21,12,15,12,14.008928571428571,0
9,10,1,5,0,0,18,12,23,7,12.45,1
10,14,1,6,1,0,18,12,13,11,13.266666666666666,0
11,12,1,10,1,1,18,16,16,14,13.214285714285714,0
12,16,1,5,1,0,19,12,6,0,0.0,1
13,11,1,5,1,1,21,12,15,11,10.785714285714285,0
14,6,1,6,1,1,18,10,12,9,12.625,0
15,15,1,10,1,0,20,12,13,5,6.6,1
16,10,1,6,1,0,18,12,24,3,11.5,0
17,12,1,6,1,0,18,15,16,15,13.925625,0
18,8,1,4,1,0,20,10,16,8,12.375,0
19,16,1,8,1,0,18,14,15,12,12.583333333333332,0
20,2,1,10,1,1,21,0,0,0,0.0,0
21,13,1,5,1,0,20,15,23,15,11.43125,0
22,12,1,2,1,0,18,16,24,14,12.857142857142858,0
23,14,1,5,1,1,19,12,15,12,12.830357142857142,0
24,12,1,4,1,0,19,15,17,13,13.70547619047619,0
25,10,1,10,1,1,18,12,20,9,11.3,0
26,10,1,8,1,0,21,12,18,12,12.330357142857142,0
27,6,1,4,1,0,18,10,16,9,12.833333333333332,0
28,9,1,10,1,0,20,10,12,10,12.166666666666668,0
29,12,1,2,1,0,19,14,16,12,13.325,0
30,4,1,5,1,0,21,12,32,10,11.214285714285715,0
31,5,1,16,1,0,20,12,16,10,13.116666666666667,0
32,9,1,5,0,0,18,10,17,5,12.416666666666668,0
33,3,0,10,1,0,19,12,14,12,13.520833333333332,0
34,17,0,4,1,0,34,10,15,10,12.914285714285716,0
35,1,1,10,0,0,37,14,14,1,5.0,1
36,7,1,1,1,0,43,10,0,0,0.0,1
37,9,1,7,1,0,55,10,18,3,11.0,1
38,17,0,10,1,0,39,10,13,10,11.3,0
39,8,1,4,0,0,20,12,24,6,11.833333333333332,1
40,15,1,3,1,0,18,11,11,4,6.375,1
41,9,1,3,1,0,22,10,10,10,15.3,0
42,12,1,3,1,0,22,15,18,12,14.135428571428571,0
43,15,1,6,0,0,20,12,14,9,13.4,1
44,17,0,10,1,0,29,10,0,0,0.0,1
45,17,0,5,1,0,24,10,20,5,12.916666666666668,0
46,10,1,10,1,0,18,12,14,11,12.433333333333334,0
47,12,1,8,1,1,22,15,17,13,13.64404761904762,0
48,3,0,10,1,1,21,12,13,12,12.392857142857142,0
49,10,1,10,1,1,19,12,14,11,12.583333333333334,0
50,11,1,10,1,1,24,12,12,12,13.916666666666666,0
51,12,1,7,1,1,19,16,20,12,11.833333333333334,0
52,15,1,8,1,1,20,12,23,7,12.5,0
53,8,1,12,1,0,19,10,12,10,15.257142857142856,0
54,17,0,10,1,0,27,10,22,10,10.8,1
55,12,1,6,1,0,18,15,19,15,13.319722222222222,0
56,11,1,5,1,0,39,12,16,0,0.0,1
57,8,1,3,1,0,27,17,22,15,12.95,1
58,12,1,8,1,0,18,16,16,16,14.935,0
59,2,1,5,1,0,18,0,0,0,0.0,0
60,12,1,10,1,0,18,15,20,13,12.677380952380952,0
61,10,1,10,1,1,21,12,14,12,12.0,0
62,2,1,5,1,1,19,0,0,0,0.0,0
63,5,1,4,1,0,19,12,14,6,10.7,0
64,5,1,4,1,0,24,12,12,0,0.0,0
65,12,1,6,1,0,29,15,20,10,11.45,1
66,2,1,6,1,1,19,0,0,0,0.0,0
67,4,1,10,1,0,23,12,15,12,12.5,0
68,9,1,8,1,0,19,10,18,9,10.975,1
69,11,1,8,1,0,26,12,15,11,11.4,0
70,9,1,6,1,0,18,10,14,0,0.0,0
71,12,1,9,1,0,24,15,16,15,12.8625,0
72,2,1,6,1,0,19,0,0,0,0.0,1
73,11,1,6,1,0,18,12,24,4,11.833333333333332,1
74,15,1,10,1,0,18,12,19,9,12.333333333333334,0
75,9,1,5,1,0,18,10,19,6,10.595238095238097,1
76,11,1,8,1,1,21,12,19,5,10.75,1
77,15,1,10,1,1,19,12,12,12,13.5,0
78,12,1,10,1,1,22,15,16,15,14.94920634920635,0
79,3,0,10,1,0,33,12,14,12,11.833333333333332,0
80,16,1,10,1,0,20,12,15,10,12.2,1
81,17,0,3,1,0,35,6,1,0,0.0,1
82,4,1,5,1,0,24,24,31,16,12.733333333333334,1
83,11,1,5,1,0,18,10,14,8,11.666666666666668,0
84,3,0,10,1,0,33,12,18,11,11.0,0
85,12,1,10,1,1,22,16,16,14,13.08,0
86,14,1,5,1,1,25,10,14,9,11.05,0
87,5,1,5,1,0,20,12,15,11,10.933333333333334,0
88,9,1,10,1,0,23,10,11,9,13.9,0
89,7,1,10,1,0,18,10,18,2,5.0,0
90,12,1,5,1,0,24,14,25,0,0.0,1
91,15,1,10,0,0,21,12,12,12,13.75,0
92,8,1,5,1,0,26,12,13,2,6.0,1
93,16,1,1,1,0,39,12,26,3,6.333333333333333,1
94,3,0,10,1,0,44,14,18,14,12.104166666666668,0
95,7,1,10,1,0,19,10,20,8,13.625,0
96,15,1,6,1,0,18,12,12,12,13.5,0
97,12,1,8,1,1,18,15,16,15,14.11388888888889,0
98,6,1,10,1,0,19,10,14,10,14.0,0
99,12,1,3,0,0,19,14,17,4,5.98,1
100,6,1,10,1,0,21,19,26,13,13.1375,1
101,2,1,10,1,0,20,0,0,0,0.0,0
102,3,0,7,1,0,36,12,0,0,0.0,1
103,4,1,10,1,0,43,31,33,31,14.431174089068826,0
104,16,1,10,1,0,19,12,0,0,0.0,1
105,5,1,3,1,0,20,21,23,21,12.636363636363637,0
106,10,1,5,1,0,19,12,0,0,0.0,1
107,6,1,5,1,0,20,12,32,8,13.725,1
108,12,1,5,1,0,20,14,19,11,12.783333333333331,1
109,16,1,10,1,0,20,14,22,9,12.333333333333332,0
110,10,1,7,1,0,18,12,14,12,14.428571428571429,0
